algorithm,params,n_rows,n_seeds,n_f0,mean_relative_error_mean,mean_relative_error_std,mean_relative_error_cv,rmse_mean,rmse_std,rmse_cv,variance_mean,variance_std,variance_cv,bias_mean,bias_std,bias_cv
LogLog,"k=9,L=32",20,5,4,0.039299199400000005,0.00998115563717184,0.2539785998076042,137358.9995059,112606.7163140248,0.8197986059820419,9934157657.6355,16142170660.935076,1.6249158929472023,-96345.40900000001,111901.46670080941,1.1614613281760982
LogLog,"k=7,L=32",20,5,4,0.07338815679999999,0.02098631457838051,0.2859632329446992,248349.02409959998,199480.97459301812,0.8032283409054854,37715429909.803,62260055823.83543,1.650784731149327,-177654.882,180519.38407809453,1.0161239705086997
LogLog,"k=14,L=32",20,5,4,0.006249965999999998,0.0022918945167267413,0.3667051175521182,19227.408145125002,14960.777385611447,0.7780964169840366,376924360.45728,623756594.0342628,1.6548587978700262,-3495.489,14535.710089710243,4.158419634480396
LogLog,"k=10,L=32",20,5,4,0.024335315399999995,0.011046058725234504,0.4539106456468818,68122.70081415,60561.68918271333,0.8890089274049137,6229069517.705999,10687981242.812311,1.7158230795838687,-32478.305,31883.112665487402,0.9816741565019296
LogLog,"k=6,L=32",20,5,4,0.09072312299999999,0.04249768356684105,0.4684327673204223,243987.16668650002,194232.53817870235,0.7960768626338139,78448498110.985,126382826650.74893,1.6110292700817401,-67882.167,120883.5268404083,1.7807847360030258
LogLog,"k=13,L=32",20,5,4,0.007961200199999997,0.004372303049937288,0.5492014947617181,19357.973938799998,20267.72434820093,1.0469961583932852,752765949.78195,1289203315.1770158,1.7126217193411217,-1758.404,5044.033199438301,2.868529188649651
LogLog,"k=16,L=32",20,5,4,0.011063060199999999,0.01365096842086167,1.2339233606323206,14962.368823600002,12109.901189021302,0.8093572168813584,90443926.423235,149009769.32792535,1.6475375983858749,-8884.325,14349.89175358238,1.6151921224834052
Probabilistic Counting,L=1,20,5,4,0.9999943500000003,8.530286599750901e-06,8.530334796142498e-06,4024998.0,4013382.219787353,0.997114090438642,0.0,0.0,,-4024998.0,4013382.219787353,0.997114090438642
Probabilistic Counting,L=2,20,5,4,0.9999858750000004,2.132571649934326e-05,2.132601772934368e-05,4024995.0,4013382.219787353,0.9971148336301916,0.0,0.0,,-4024995.0,4013382.219787353,0.9971148336301916
Probabilistic Counting,L=3,20,5,4,0.9999717499999999,4.265143299869834e-05,4.265263793572003e-05,4024990.0,4013382.219787353,0.9971160722852362,0.0,0.0,,-4024990.0,4013382.219787353,0.9971160722852362
Probabilistic Counting,L=4,20,5,4,0.9999435000000002,8.530286599738486e-05,8.530768588163716e-05,4024980.0,4013382.219787353,0.9971185496045578,0.0,0.0,,-4024980.0,4013382.219787353,0.9971185496045578
Probabilistic Counting,L=5,20,5,4,0.9998841750000004,0.00017487087529466662,0.0001748911320600374,4024959.0,4013382.219787353,0.9971237520152014,0.0,0.0,,-4024959.0,4013382.219787353,0.9971237520152014
Probabilistic Counting,L=6,20,5,4,0.9997683499999999,0.0003497417505893021,0.0003498227870379195,4024918.0,4013382.219787353,0.9971339092591087,0.0,0.0,,-4024918.0,4013382.219787353,0.9971339092591087
Probabilistic Counting,L=7,20,5,4,0.9995338749999998,0.0007037486444784887,0.000704076832291941,4024835.0,4013382.219787353,0.9971544721180752,0.0,0.0,,-4024835.0,4013382.219787353,0.9971544721180752
Probabilistic Counting,L=8,20,5,4,0.9990677500000003,0.0014074972889568979,0.0014088106526878657,4024670.0,4013382.219787353,0.9971953526096184,0.0,0.0,,-4024670.0,4013382.219787353,0.9971953526096184
Probabilistic Counting,L=9,20,5,4,0.9981326749999997,0.0028192597212136927,0.002824534044247869,4024339.0,4013382.219787353,0.9972773714608419,0.0,0.0,,-4024339.0,4013382.219787353,0.9972773714608419
Probabilistic Counting,L=10,20,5,4,0.9962625249999999,0.00564278458572725,0.0056639534702233735,4023677.0,4013382.219787353,0.9974414496460211,0.0,0.0,,-4023677.0,4013382.219787353,0.9974414496460211
Probabilistic Counting,L=11,20,5,4,0.9925222250000003,0.01128983431475437,0.011374893206803875,4022353.0,4013382.219787353,0.9977697680405855,0.0,0.0,,-4022353.0,4013382.219787353,0.9977697680405855
Probabilistic Counting,L=12,20,5,4,0.9850416250000003,0.022583933772808627,0.022926882681540105,4019705.0,4013382.219787353,0.9984270536736783,0.0,0.0,,-4019705.0,4013382.219787353,0.9984270536736783
Probabilistic Counting,L=13,20,5,4,0.9700832499999997,0.04516786754561722,0.04656081583267955,4014410.0,4013382.219787353,0.9997439772687277,0.0,0.0,,-4014410.0,4013382.219787353,0.9997439772687277
Probabilistic Counting,L=14,20,5,4,0.9403754949999998,0.08996649400861165,0.09567081924929537,4003841.5728019997,4013358.9827357023,1.0023770695619811,224338.562,690499.5244497396,3.0779350562554626,-4003840.182,4013360.41443394,1.0023777753359737
Probabilistic Counting,L=15,20,5,4,0.8822336499999999,0.1773293588116148,0.20100044791038613,3982866.653852,4013146.861119836,1.0076026163814826,4573390.0655000005,10757296.191183789,2.352149289065225,-3982828.63,4013185.9960525227,1.0076220618240668
Probabilistic Counting,L=18,20,5,4,0.7858624719999998,0.17210070337588287,0.21899595604545286,3767029.5973705,3932024.6197567936,1.0437997679926552,1733593833.0,2661136224.781219,1.5350402003773274,-3742674.3869999996,3956204.7507359334,1.0570528829538635
Probabilistic Counting,L=21,20,5,4,0.6453360076000001,0.14224974814853278,0.22042741528953042,2671737.8521555,2851488.4785633725,1.067278541666374,192178871398.4,335200696632.6819,1.7442120155747394,-2254216.8030000003,3177683.9758523945,1.409662092671569
Probabilistic Counting,L=24,20,5,4,0.8589724726,0.2268961060085916,0.2641482855926757,4828507.1241055,4702832.122458329,0.9739722861710695,9674358569153.9,16429370988488.229,1.6982387897914257,3455601.9869999997,4910056.600742442,1.4208976089301115
Probabilistic Counting,L=25,20,5,4,0.8589724726,0.2268961060085916,0.2641482855926757,4828507.1241055,4702832.122458329,0.9739722861710695,9674358569153.9,16429370988488.229,1.6982387897914257,3455601.9869999997,4910056.600742442,1.4208976089301115
Probabilistic Counting,L=26,20,5,4,0.8589724726,0.2268961060085916,0.2641482855926757,4828507.1241055,4702832.122458329,0.9739722861710695,9674358569153.9,16429370988488.229,1.6982387897914257,3455601.9869999997,4910056.600742442,1.4208976089301115
Probabilistic Counting,L=27,20,5,4,0.8589724726,0.2268961060085916,0.2641482855926757,4828507.1241055,4702832.122458329,0.9739722861710695,9674358569153.9,16429370988488.229,1.6982387897914257,3455601.9869999997,4910056.600742442,1.4208976089301115
Probabilistic Counting,L=28,20,5,4,0.8589724726,0.2268961060085916,0.2641482855926757,4828507.1241055,4702832.122458329,0.9739722861710695,9674358569153.9,16429370988488.229,1.6982387897914257,3455601.9869999997,4910056.600742442,1.4208976089301115
Probabilistic Counting,L=29,20,5,4,0.8589724726,0.2268961060085916,0.2641482855926757,4828507.1241055,4702832.122458329,0.9739722861710695,9674358569153.9,16429370988488.229,1.6982387897914257,3455601.9869999997,4910056.600742442,1.4208976089301115
Probabilistic Counting,L=30,20,5,4,0.8589724726,0.2268961060085916,0.2641482855926757,4828507.1241055,4702832.122458329,0.9739722861710695,9674358569153.9,16429370988488.229,1.6982387897914257,3455601.9869999997,4910056.600742442,1.4208976089301115
Probabilistic Counting,L=31,20,5,4,0.8589724726,0.2268961060085916,0.2641482855926757,4828507.1241055,4702832.122458329,0.9739722861710695,9674358569153.9,16429370988488.229,1.6982387897914257,3455601.9869999997,4910056.600742442,1.4208976089301115
Probabilistic Counting,L=17,20,5,4,0.8109412200000001,0.21504084210279098,0.2651743884751486,3886107.1770575,3982171.4124614396,1.0247199140494827,698219561.5,1250498353.1373334,1.7909815509191136,-3871457.147,3997073.7975179027,1.0324468658048414
Probabilistic Counting,L=20,20,5,4,0.6396424540000002,0.1836120462044972,0.28705418950271416,3192558.1000155,3532012.9384872145,1.1063269102197597,38161242898.9,65007009352.26573,1.7034824972679168,-3037758.227,3667555.300195229,1.2073229750799483
Probabilistic Counting,L=19,20,5,4,0.6845307739999998,0.23527474353952127,0.34370221540912244,3526300.4121305,3838772.370993925,1.0886118374340765,5176886829.9,6268287787.049542,1.2108218690132395,-3497309.339,3865898.586266417,1.1053922348692806
Probabilistic Counting,L=16,20,5,4,0.787552345,0.31394423033728286,0.39863284304903296,3944600.7026725,4008934.2720695017,1.0163092729140912,98644414.55,179697946.85920733,1.8216738137578348,-3942965.047,4010614.9899878083,1.0171571246971312
Probabilistic Counting,L=22,20,5,4,0.5521148886000002,0.23129024879479793,0.41891688409505035,1892536.8912555003,1702048.705314577,0.8993477026413186,753962626853.9,825694300014.6022,1.0951395607764018,-1234799.963,2069885.038105457,1.6762917882476946
Probabilistic Counting,L=23,20,5,4,0.5249507846,0.3068966434355158,0.5846198394947895,1369369.8139054999,1204822.732883752,0.8798373679988953,3001735142503.9,4578389241682.932,1.5252475732631976,429886.04699999996,366619.2069346285,0.8528288124099745
